genes,AVG,STDEV
IGHJ1,0,1
IGHJ1P,0,1
IGHJ2,0,1
IGHJ2P,0,1
IGHJ3,0,1
IGHJ3P,0,1
IGHJ4,0,1
IGHJ5,0,1
IGHJ6,0,1
IGK-KDE,0,1
IGKJ1,0,1
IGKJ2,0,1
IGKJ3,0,1
IGKJ4,0,1
IGKJ5,0,1
IGLJ1,0,1
IGLJ2,0,1
IGLJ3,0,1
IGLJ4,0,1
IGLJ5,0,1
IGLJ6,0,1
IGLJ7,0,1
TRAJ1,0.060661124,0.011884721
TRAJ10,0.012183266,0.002626238
TRAJ11,0.004343764,0.001431987
TRAJ12,0.004828132,0.001396433
TRAJ13,0.00759057,0.001978932
TRAJ14,0,1
TRAJ15,0.0080317,0.001893825
TRAJ16,0.008998501,0.001975115
TRAJ17,0.010840351,0.001968218
TRAJ18,0.003826166,0.00090571
TRAJ19,0,1
TRAJ2,0.094064351,0.013811423
TRAJ20,0.012068984,0.002039935
TRAJ21,0.007252296,0.002295467
TRAJ22,0.010438421,0.002332473
TRAJ23,0.012921824,0.001954337
TRAJ24,0.006300084,0.001009021
TRAJ25,0,1
TRAJ26,0.006340185,0.000873045
TRAJ27,0.021167339,0.013468184
TRAJ28,0.008344775,0.001812121
TRAJ29,0.009189892,0.002299223
TRAJ3,0.119324186,0.00795533
TRAJ30,0.011097577,0.001316148
TRAJ31,0.008009723,0.00306996
TRAJ32,0.01092463,0.001546573
TRAJ33,0.009126173,0.00149423
TRAJ34,0.011265818,0.000785299
TRAJ35,0.007019012,0.000954898
TRAJ36,0.007755446,0.001008242
TRAJ37,0.018549736,0.001611141
TRAJ38,0.010239928,0.002374433
TRAJ39,0.016599732,0.002462606
TRAJ4,0.147617708,0.010619531
TRAJ40,0.012147829,0.001363509
TRAJ41,0.005075212,0.001577332
TRAJ42,0.020650614,0.002543939
TRAJ43,0.017281044,0.002406146
TRAJ44,0.010924535,0.002017191
TRAJ45,0.021562646,0.002943588
TRAJ46,0.000988235,0.00020072
TRAJ47,0.00878218,0.001426409
TRAJ48,0.016751983,0.002824808
TRAJ49,0.019409085,0.001868363
TRAJ5,0.078707142,0.010059771
TRAJ50,0.004673799,0.00091506
TRAJ51,0,1
TRAJ52,0.013196656,0.001528849
TRAJ53,0.018265171,0.005056928
TRAJ54,0.008303804,0.001341131
TRAJ55,0,1
TRAJ56,0.006085306,0.00210915
TRAJ57,0.010635044,0.001916789
TRAJ58,0.009160429,0.002731327
TRAJ59,0,1
TRAJ6,0.012061927,0.001889301
TRAJ60,0.000259833,0.000121758
TRAJ61,0.000772745,0.000514929
TRAJ7,0.004024793,0.001387681
TRAJ8,0.006203029,0.002488108
TRAJ9,0.007155561,0.002265477
TRBJ1-1,0.062051216,0.02299513
TRBJ1-2,0.06584368,0.025745647
TRBJ1-3,0.007204174,0.005849457
TRBJ1-4,0.034197833,0.017983763
TRBJ1-5,0.052870235,0.016229974
TRBJ1-6,0.019334137,0.007505678
TRBJ2-1,0.198102351,0.03817277
TRBJ2-2,0.055267059,0.04915547
TRBJ2-2P,0,1
TRBJ2-3,0.112373758,0.022087908
TRBJ2-4,0.045910231,0.015207557
TRBJ2-5,0.133468912,0.041457366
TRBJ2-6,0.017830874,0.00463867
TRBJ2-7,0.195545539,0.036217646
TRDJ1,0,1
TRDJ2,0,1
TRDJ3,0,1
TRDJ4,0,1
TRGJ1,0,1
TRGJ2,0,1
TRGJP,0,1
TRGJP1,0,1
TRGJP2,0,1
